danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.493,0.527,10,-9.752,1,0.33,0.167,0,0.288,0.697,103.451,"audio_features","68JTZDIYLoUwW4ibQZrM1X","spotify:track:68JTZDIYLoUwW4ibQZrM1X","https://api.spotify.com/v1/tracks/68JTZDIYLoUwW4ibQZrM1X","https://api.spotify.com/v1/audio-analysis/68JTZDIYLoUwW4ibQZrM1X",219200,3
0.784,0.835,7,-7.34,1,0.388,0.196,0,0.11,0.549,141.022,"audio_features","1EAewdHog0LG6kX1TFNyiQ","spotify:track:1EAewdHog0LG6kX1TFNyiQ","https://api.spotify.com/v1/tracks/1EAewdHog0LG6kX1TFNyiQ","https://api.spotify.com/v1/audio-analysis/1EAewdHog0LG6kX1TFNyiQ",205798,4
0.575,0.984,2,-0.997,1,0.189,0.00198,0.263,0.52,0.488,150.042,"audio_features","7lrTieknx0Rp6xcUXVjRQE","spotify:track:7lrTieknx0Rp6xcUXVjRQE","https://api.spotify.com/v1/tracks/7lrTieknx0Rp6xcUXVjRQE","https://api.spotify.com/v1/audio-analysis/7lrTieknx0Rp6xcUXVjRQE",229640,4
0.745,0.612,6,-7.466,1,0.127,0.239,0,0.152,0.865,85.985,"audio_features","1kOFpvRGPlwq0hSyyCD92E","spotify:track:1kOFpvRGPlwq0hSyyCD92E","https://api.spotify.com/v1/tracks/1kOFpvRGPlwq0hSyyCD92E","https://api.spotify.com/v1/audio-analysis/1kOFpvRGPlwq0hSyyCD92E",239453,4
0.891,0.702,0,-5.644,1,0.17,0.103,0,0.0802,0.492,136.987,"audio_features","66tcf6IOo2Qox6SGDmmm1g","spotify:track:66tcf6IOo2Qox6SGDmmm1g","https://api.spotify.com/v1/tracks/66tcf6IOo2Qox6SGDmmm1g","https://api.spotify.com/v1/audio-analysis/66tcf6IOo2Qox6SGDmmm1g",211685,4
0.553,0.943,6,-3.712,1,0.0648,0.00563,0.00000754,0.139,0.643,137.179,"audio_features","3njAIP9UgzlKT11rraDhWW","spotify:track:3njAIP9UgzlKT11rraDhWW","https://api.spotify.com/v1/tracks/3njAIP9UgzlKT11rraDhWW","https://api.spotify.com/v1/audio-analysis/3njAIP9UgzlKT11rraDhWW",221656,4
0.707,0.712,9,-6.005,1,0.0555,0.0346,0,0.114,0.218,109.9,"audio_features","3JxKRuE6vEkdAEyPUkIsau","spotify:track:3JxKRuE6vEkdAEyPUkIsau","https://api.spotify.com/v1/tracks/3JxKRuE6vEkdAEyPUkIsau","https://api.spotify.com/v1/audio-analysis/3JxKRuE6vEkdAEyPUkIsau",339914,4
0.553,0.754,10,-4.615,1,0.255,0.121,0,0.122,0.495,81.888,"audio_features","1VF67uWsE0NHpd5EI7GyFt","spotify:track:1VF67uWsE0NHpd5EI7GyFt","https://api.spotify.com/v1/tracks/1VF67uWsE0NHpd5EI7GyFt","https://api.spotify.com/v1/audio-analysis/1VF67uWsE0NHpd5EI7GyFt",204364,4
0.692,0.898,4,-3.179,0,0.122,0.354,0.000007,0.186,0.778,77.438,"audio_features","62XoIh6od0W79r8Tk51VOp","spotify:track:62XoIh6od0W79r8Tk51VOp","https://api.spotify.com/v1/tracks/62XoIh6od0W79r8Tk51VOp","https://api.spotify.com/v1/audio-analysis/62XoIh6od0W79r8Tk51VOp",272893,4
0.711,0.947,9,-4.752,0,0.0484,0.0724,0,0.0725,0.84,120.044,"audio_features","7JIUI9bHyaifT8EAyNWqBU","spotify:track:7JIUI9bHyaifT8EAyNWqBU","https://api.spotify.com/v1/tracks/7JIUI9bHyaifT8EAyNWqBU","https://api.spotify.com/v1/audio-analysis/7JIUI9bHyaifT8EAyNWqBU",187933,4
0.531,0.657,11,-7.388,1,0.454,0.109,0.0000187,0.328,0.464,138.513,"audio_features","3JJ3RegwBPhDSbhZlt9sCh","spotify:track:3JJ3RegwBPhDSbhZlt9sCh","https://api.spotify.com/v1/tracks/3JJ3RegwBPhDSbhZlt9sCh","https://api.spotify.com/v1/audio-analysis/3JJ3RegwBPhDSbhZlt9sCh",379437,4
0.816,0.751,10,-6.009,0,0.198,0.0948,0.00462,0.0738,0.903,81.393,"audio_features","1xixUOjgdqMOPZxursTms3","spotify:track:1xixUOjgdqMOPZxursTms3","https://api.spotify.com/v1/tracks/1xixUOjgdqMOPZxursTms3","https://api.spotify.com/v1/audio-analysis/1xixUOjgdqMOPZxursTms3",287500,4
0.677,0.833,8,-3.537,0,0.207,0.0904,0,0.255,0.571,142.045,"audio_features","4I1Vup3GUNXlBOVlFlqtCv","spotify:track:4I1Vup3GUNXlBOVlFlqtCv","https://api.spotify.com/v1/tracks/4I1Vup3GUNXlBOVlFlqtCv","https://api.spotify.com/v1/audio-analysis/4I1Vup3GUNXlBOVlFlqtCv",300760,4
0.758,0.916,0,-4.008,1,0.12,0.0497,0,0.0676,0.149,122.956,"audio_features","1QaanDNtCkccxtlBql9X1o","spotify:track:1QaanDNtCkccxtlBql9X1o","https://api.spotify.com/v1/tracks/1QaanDNtCkccxtlBql9X1o","https://api.spotify.com/v1/audio-analysis/1QaanDNtCkccxtlBql9X1o",217130,4
0.64,0.815,4,-8.152,1,0.18,0.309,0.000222,0.0928,0.949,172.088,"audio_features","7ef2ooGxlk0EzubPupK3ao","spotify:track:7ef2ooGxlk0EzubPupK3ao","https://api.spotify.com/v1/tracks/7ef2ooGxlk0EzubPupK3ao","https://api.spotify.com/v1/audio-analysis/7ef2ooGxlk0EzubPupK3ao",236077,4
0.487,0.551,6,-10.531,0,0.223,0.108,0.00628,0.0887,0.168,92.864,"audio_features","5wlQikhPphsp3ha3rv7eZL","spotify:track:5wlQikhPphsp3ha3rv7eZL","https://api.spotify.com/v1/tracks/5wlQikhPphsp3ha3rv7eZL","https://api.spotify.com/v1/audio-analysis/5wlQikhPphsp3ha3rv7eZL",253392,3
0.849,0.837,8,-3.889,0,0.235,0.615,0.000122,0.164,0.603,145.994,"audio_features","0YPF9gN7wrgAdDpj17HvmT","spotify:track:0YPF9gN7wrgAdDpj17HvmT","https://api.spotify.com/v1/tracks/0YPF9gN7wrgAdDpj17HvmT","https://api.spotify.com/v1/audio-analysis/0YPF9gN7wrgAdDpj17HvmT",198082,4
0.864,0.677,7,-7.579,1,0.306,0.282,0,0.159,0.816,93.801,"audio_features","2mRrlYh5KpJOESc5Rt6uLr","spotify:track:2mRrlYh5KpJOESc5Rt6uLr","https://api.spotify.com/v1/tracks/2mRrlYh5KpJOESc5Rt6uLr","https://api.spotify.com/v1/audio-analysis/2mRrlYh5KpJOESc5Rt6uLr",162560,4
0.644,0.622,1,-5.941,1,0.112,0.0974,0,0.122,0.208,169.894,"audio_features","1r8JrKQxLModeGoYjPjFZG","spotify:track:1r8JrKQxLModeGoYjPjFZG","https://api.spotify.com/v1/tracks/1r8JrKQxLModeGoYjPjFZG","https://api.spotify.com/v1/audio-analysis/1r8JrKQxLModeGoYjPjFZG",192236,4
0.716,0.729,5,-6.033,0,0.0794,0.0332,0,0.205,0.656,91.978,"audio_features","73jnCVXadK6yIwunxkRb38","spotify:track:73jnCVXadK6yIwunxkRb38","https://api.spotify.com/v1/tracks/73jnCVXadK6yIwunxkRb38","https://api.spotify.com/v1/audio-analysis/73jnCVXadK6yIwunxkRb38",194397,4
0.805,0.775,1,-4.047,0,0.128,0.484,0,0.115,0.75,130.018,"audio_features","6YhLGllKlIeMRe8532yZYH","spotify:track:6YhLGllKlIeMRe8532yZYH","https://api.spotify.com/v1/tracks/6YhLGllKlIeMRe8532yZYH","https://api.spotify.com/v1/audio-analysis/6YhLGllKlIeMRe8532yZYH",238151,4
0.869,0.516,1,-5.213,1,0.133,0.0314,0,0.127,0.12,120.022,"audio_features","2z5uCaDOXucCKO7x6bJX0S","spotify:track:2z5uCaDOXucCKO7x6bJX0S","https://api.spotify.com/v1/tracks/2z5uCaDOXucCKO7x6bJX0S","https://api.spotify.com/v1/audio-analysis/2z5uCaDOXucCKO7x6bJX0S",288957,4
0.828,0.798,9,-7.093,1,0.166,0.257,0.0000305,0.299,0.283,139.996,"audio_features","2uFZvDbq6bxVuWjbC5WGAj","spotify:track:2uFZvDbq6bxVuWjbC5WGAj","https://api.spotify.com/v1/tracks/2uFZvDbq6bxVuWjbC5WGAj","https://api.spotify.com/v1/audio-analysis/2uFZvDbq6bxVuWjbC5WGAj",164093,4
0.774,0.853,10,-4.021,0,0.256,0.181,0,0.2,0.636,99.035,"audio_features","0ElvjbOym0cvz4vKHhuWMv","spotify:track:0ElvjbOym0cvz4vKHhuWMv","https://api.spotify.com/v1/tracks/0ElvjbOym0cvz4vKHhuWMv","https://api.spotify.com/v1/audio-analysis/0ElvjbOym0cvz4vKHhuWMv",340173,40.773,0.508,9,-8.583,0,0.0558,0.32,0.102,0.106,0.496,133.966,"audio_features","4L3hja5ROnBDN5So4bUEo3","spotify:track:4L3hja5ROnBDN5So4bUEo3","https://api.spotify.com/v1/tracks/4L3hja5ROnBDN5So4bUEo3","https://api.spotify.com/v1/audio-analysis/4L3hja5ROnBDN5So4bUEo3",211436,4
0.586,0.855,1,-3.481,1,0.323,0.135,0,0.754,0.549,80.105,"audio_features","3OTMcouJxgNYYwuLsQ4Qw6","spotify:track:3OTMcouJxgNYYwuLsQ4Qw6","https://api.spotify.com/v1/tracks/3OTMcouJxgNYYwuLsQ4Qw6","https://api.spotify.com/v1/audio-analysis/3OTMcouJxgNYYwuLsQ4Qw6",195667,4
0.702,0.857,5,-6.39,0,0.082,0.0642,0,0.0947,0.266,94.018,"audio_features","3FzmWEUMpn2j2M5NCQK0WP","spotify:track:3FzmWEUMpn2j2M5NCQK0WP","https://api.spotify.com/v1/tracks/3FzmWEUMpn2j2M5NCQK0WP","https://api.spotify.com/v1/audio-analysis/3FzmWEUMpn2j2M5NCQK0WP",249307,4
0.628,0.891,11,-5.244,1,0.169,0.0337,0,0.114,0.436,72.004,"audio_features","2glfyBSK3wqoumtEVN1F07","spotify:track:2glfyBSK3wqoumtEVN1F07","https://api.spotify.com/v1/tracks/2glfyBSK3wqoumtEVN1F07","https://api.spotify.com/v1/audio-analysis/2glfyBSK3wqoumtEVN1F07",287360,4
0.816,0.736,8,-6.774,1,0.362,0.538,0,0.114,0.785,115.059,"audio_features","3p2x3UD9wz9yt3gtftKwT0","spotify:track:3p2x3UD9wz9yt3gtftKwT0","https://api.spotify.com/v1/tracks/3p2x3UD9wz9yt3gtftKwT0","https://api.spotify.com/v1/audio-analysis/3p2x3UD9wz9yt3gtftKwT0",267200,4
0.53,0.661,8,-5.507,1,0.083,0.141,0.00018,0.123,0.149,122.482,"audio_features","0MRZ9nMoLc7qQ8Nhovv8C8","spotify:track:0MRZ9nMoLc7qQ8Nhovv8C8","https://api.spotify.com/v1/tracks/0MRZ9nMoLc7qQ8Nhovv8C8","https://api.spotify.com/v1/audio-analysis/0MRZ9nMoLc7qQ8Nhovv8C8",417693,4
0.852,0.523,5,-6.716,0,0.032,0.0833,0,0.106,0.65,130.154,"audio_features","2dURQIBrw3XcHyVZlfdpC1","spotify:track:2dURQIBrw3XcHyVZlfdpC1","https://api.spotify.com/v1/tracks/2dURQIBrw3XcHyVZlfdpC1","https://api.spotify.com/v1/audio-analysis/2dURQIBrw3XcHyVZlfdpC1",237533,4
0.677,0.599,10,-10.917,0,0.32,0.0391,0,0.451,0.631,134.22,"audio_features","6q4P5GViMZJfgpfNVr5txY","spotify:track:6q4P5GViMZJfgpfNVr5txY","https://api.spotify.com/v1/tracks/6q4P5GViMZJfgpfNVr5txY","https://api.spotify.com/v1/audio-analysis/6q4P5GViMZJfgpfNVr5txY",203471,4
0.746,0.582,6,-7.53,0,0.124,0.126,0,0.127,0.43,100.961,"audio_features","34gTZVtfUitzFesP6mHV6d","spotify:track:34gTZVtfUitzFesP6mHV6d","https://api.spotify.com/v1/tracks/34gTZVtfUitzFesP6mHV6d","https://api.spotify.com/v1/audio-analysis/34gTZVtfUitzFesP6mHV6d",227053,4
0.624,0.661,1,-5.04,1,0.346,0.152,0,0.634,0.596,188.256,"audio_features","2IvRTipyjerdv79tW9NVRx","spotify:track:2IvRTipyjerdv79tW9NVRx","https://api.spotify.com/v1/tracks/2IvRTipyjerdv79tW9NVRx","https://api.spotify.com/v1/audio-analysis/2IvRTipyjerdv79tW9NVRx",175672,4
